17
11.4 19.77 -21.9301 -90 22 0 0 0 0 0
11.4 19.77 -21.9301 -90 22 0 -12 5 0 19
11.4 19.77 -21.9301 -90 22 -2 -3 2 6 20
11.4 19.77 -21.9301 -90 22 -2 -9 -5 -2 20
11.4 19.77 -21.9301 -90 22 -2 -9 6 6 10
11.4 19.77 -21.9301 -90 22 -2 1 7 -2 10
11.4 19.77 -21.9301 -90 22 -2 1 7 -2 20
11.4 19.77 -21.9301 -90 22 -1 -6 7 -3 20
11.4 19.77 -21.9301 -90 22 -1 -6 -1 8 14
11.4 19.77 -21.9301 -90 22 -1 1 4 8 21
11.4 19.77 -21.9301 -90 22 -1 -8 -5 1 16
11.4 19.77 -21.9301 -90 22 -1 0 5 -5 2
11.4 19.77 -21.9301 -90 22 -1 -7 5 -5 23
11.4 19.77 -21.9301 -90 22 -1 -7 -4 -5 23
11.4 19.77 -21.9301 -90 22 -1 0 -4 3 14
11.4 19.77 -21.9301 -90 22 -1 -6 8 3 21
11.4 19.77 -21.9301 -90 22 0 0 0 0 0
